GREENPAI,BAKE_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SYLB_B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NICH_B,NA,NA,NA,DALL_B,NA,NA,NA,NA,NA,NA,NA
GREENROC,BAKE_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SYLB_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAKE_B,NA,NA,NA,NA,NA,HECA_B,NA,NA,NA,NA,NA,NA
GREENWHI,BAKE_A,FARA_A,SHKN_A,CALD_A,DUNB_A,GARC_A,GUKT_A,NA,KAGK_A,KAHS_B,NA,0TZ_C,NFEI_A,NOSK_A,NPAS_A,REFU_A,SUKK_A,SYLB_A,SYLB_B,BLAQ_A,DALL_A,NA,KAGK_B,KAHS_A,MOIR_A,NA,NOSK_E,REEF_A,REEF_B,SFEI_A,TAHB_A,BOST_B,NA,CHUS_A,GOAT_A,NA,NA,NOSK_B,SALA_A,SHIN_A,SODA_A,NA,NA,TROC_A,NICH_A,SWAD_A,NA,HECA_B,HECA_A,KLWA_A,NFEI_B,SWAD_B,NA,NA
GUNNCRE,BAKE_A,FARA_A,SHKN_A,CALD_A,DUNB_A,GARC_A,GUKT_A,HUNT_A,KAGK_A,KAHS_B,0TZ_A,0TZ_C,NFEI_A,NOSK_A,NPAS_A,REFU_A,SUKK_A,SYLB_A,SYLB_B,BLAQ_A,DALL_A,GUKT_B,KAGK_B,KAHS_A,NA,MOIR_B,NOSK_E,REEF_A,REEF_B,SFEI_A,TAHB_A,BOST_B,CHUS_B,CHUS_A,GOAT_A,HETA_A,0UK_A,NOSK_B,SALA_A,SHIN_A,SODA_A,NA,NICH_B,TROC_A,NICH_A,SWAD_A,DALL_B,HECA_B,HECA_A,KLWA_A,NFEI_B,NA,BOST_A,KLWH_A
GUNNPEN,BAKE_A,FARA_A,NA,NA,NA,NA,NA,NA,KAGK_A,KAHS_B,NA,NA,NFEI_A,NOSK_A,NA,REFU_A,SUKK_A,NA,NA,BLAQ_A,NA,NA,KAGK_B,KAHS_A,NA,NA,NA,REEF_A,REEF_B,SFEI_A,NA,NA,NA,NA,GOAT_A,NA,NA,NOSK_B,NA,NA,NA,BAKE_B,NA,NA,NA,SWAD_A,NA,NA,HECA_A,NA,NA,NA,BOST_A,KLWH_A
HERRING,NA,FARA_A,SHKN_A,NA,DUNB_A,GARC_A,GUKT_A,NA,KAGK_A,NA,0TZ_A,0TZ_C,NA,NOSK_A,NPAS_A,REFU_A,SUKK_A,NA,NA,NA,NA,NA,KAGK_B,NA,NA,NA,NA,NA,NA,SFEI_A,TAHB_A,NA,NA,NA,NA,NA,NA,NA,SALA_A,SHIN_A,NA,NA,NA,NA,NA,SWAD_A,DALL_B,HECA_B,HECA_A,NA,NA,NA,NA,KLWH_A
LINGCOD,NA,NA,SHKN_A,NA,NA,GARC_A,GUKT_A,NA,KAGK_A,NA,NA,NA,NFEI_A,NA,NA,REFU_A,NA,NA,SYLB_B,BLAQ_A,NA,GUKT_B,NA,NA,NA,NA,NA,REEF_A,REEF_B,SFEI_A,TAHB_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LORDBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFEI_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LORDRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFEI_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAHS_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PERCHKE,BAKE_A,NA,NA,NA,NA,NA,NA,NA,NA,KAHS_B,NA,0TZ_C,NA,NA,NA,NA,NA,NA,SYLB_B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SHIN_A,NA,BAKE_B,NICH_B,NA,NA,NA,DALL_B,NA,NA,NA,NA,NA,BOST_A,NA
